あ|a|hiragana
い|i|hiragana
う|u|hiragana
え|e|hiragana
お|o|hiragana
か|ka|hiragana
き|ki|hiragana
く|ku|hiragana
け|ke|hiragana
こ|ko|hiragana
さ|sa|hiragana
し|shi|hiragana
す|su|hiragana
せ|se|hiragana
そ|so|hiragana
た|ta|hiragana
ち|chi|hiragana
つ|tsu|hiragana
て|te|hiragana
と|to|hiragana
な|na|hiragana
に|ni|hiragana
ぬ|nu|hiragana
ね|ne|hiragana
の|no|hiragana
は|ha|hiragana
ひ|hi|hiragana
ふ|fu|hiragana
へ|he|hiragana
ほ|ho|hiragana
ま|ma|hiragana
み|mi|hiragana
む|mu|hiragana
め|me|hiragana
も|mo|hiragana
や|ya|hiragana
ゆ|yu|hiragana
よ|yo|hiragana
ら|ra|hiragana
り|ri|hiragana
る|ru|hiragana
れ|re|hiragana
ろ|ro|hiragana
わ|wa|hiragana
を|wo|hiragana
ん|n|hiragana
きゃ|kya|hiragana
きゅ|kyu|hiragana
きょ|kyo|hiragana
しゃ|sha|hiragana
しゅ|shu|hiragana
しょ|sho|hiragana
ちゃ|cha|hiragana
ちゅ|chu|hiragana
ちょ|cho|hiragana
にゃ|nya|hiragana
にゅ|nyu|hiragana
にょ|nyo|hiragana
ひゃ|hya|hiragana
ひゅ|hyu|hiragana
ひょ|hyo|hiragana
みゃ|mya|hiragana
みゅ|myu|hiragana
みょ|myo|hiragana
りゃ|rya|hiragana
りゅ|ryu|hiragana
りょ|ryo|hiragana
が|ga|hiragana
ぎ|gi|hiragana
ぐ|gu|hiragana
げ|ge|hiragana
ご|go|hiragana
ざ|za|hiragana
じ|ji|hiragana
ず|zu|hiragana
ぜ|ze|hiragana
ぞ|zo|hiragana
だ|da|hiragana
で|de|hiragana
ど|do|hiragana
ば|ba|hiragana
び|bi|hiragana
ぶ|bu|hiragana
べ|be|hiragana
ぼ|bo|hiragana
ぱ|pa|hiragana
ぴ|pi|hiragana
ぷ|pu|hiragana
ぺ|pe|hiragana
ぽ|po|hiragana
ぎゃ|gya|hiragana
ぎゅ|gyu|hiragana
ぎょ|gyo|hiragana
じゃ|ja|hiragana
じゅ|ju|hiragana
じょ|jo|hiragana
びゃ|bya|hiragana
びゅ|byu|hiragana
びょ|byo|hiragana
ぴゃ|pya|hiragana
ぴゅ|pyu|hiragana
ぴょ|pyo|hiragana
ア|a|katakana
イ|i|katakana
ウ|u|katakana
エ|e|katakana
オ|o|katakana
カ|ka|katakana
キ|ki|katakana
ク|ku|katakana
ケ|ke|katakana
コ|ko|katakana
サ|sa|katakana
シ|shi|katakana
ス|su|katakana
セ|se|katakana
ソ|so|katakana
タ|ta|katakana
チ|chi|katakana
ツ|tsu|katakana
テ|te|katakana
ト|to|katakana
ナ|na|katakana
ニ|ni|katakana
ヌ|nu|katakana
ネ|ne|katakana
ノ|no|katakana
ハ|ha|katakana
ヒ|hi|katakana
フ|fu|katakana
ヘ|he|katakana
ホ|ho|katakana
マ|ma|katakana
ミ|mi|katakana
ム|mu|katakana
メ|me|katakana
モ|mo|katakana
ヤ|ya|katakana
ユ|yu|katakana
ヨ|yo|katakana
ラ|ra|katakana
リ|ri|katakana
ル|ru|katakana
レ|re|katakana
ロ|ro|katakana
ワ|wa|katakana
ヲ|wo|katakana
ン|n|katakana
キャ|kya|katakana
キュ|kyu|katakana
キョ|kyo|katakana
シャ|sha|katakana
シュ|shu|katakana
ショ|sho|katakana
チャ|cha|katakana
チュ|chu|katakana
チョ|cho|katakana
ニャ|nya|katakana
ニュ|nyu|katakana
ニョ|nyo|katakana
ヒャ|hya|katakana
ヒュ|hyu|katakana
ヒョ|hyo|katakana
ミャ|mya|katakana
ミュ|myu|katakana
ミョ|myo|katakana
リャ|rya|katakana
リュ|ryu|katakana
リョ|ryo|katakana
ガ|ga|katakana
ギ|gi|katakana
グ|gu|katakana
ゲ|ge|katakana
ゴ|go|katakana
ザ|za|katakana
ジ|ji|katakana
ズ|zu|katakana
ゼ|ze|katakana
ゾ|zo|katakana
ダ|da|katakana
デ|de|katakana
ド|do|katakana
バ|ba|katakana
ビ|bi|katakana
ブ|bu|katakana
ベ|be|katakana
ボ|bo|katakana
パ|pa|katakana
ピ|pi|katakana
プ|pu|katakana
ペ|pe|katakana
ポ|po|katakana
ギャ|gya|katakana
ギュ|gyu|katakana
ギョ|gyo|katakana
ジャ|ja|katakana
ジュ|ju|katakana
ジョ|jo|katakana
ビャ|bya|katakana
ビュ|byu|katakana
ビョ|byo|katakana
ピャ|pya|katakana
ピュ|pyu|katakana
ピョ|pyo|katakana
